"conc_group","filter_ok_unter_gok","HA","kf_bez","gwn_mean","sand_depth_weighted_mean","corg_gehalt_depth_weighted_mean","Makroporen_rounded","area_sentinel_id_14","area_sentinel_id_16"
"1",4.4,"K/Ka","2",13.3704833984375,14.21438,3.44,"2",155753.622914825,69635.5001517125
"1",15.35,"K","1",59.5801734924316,39.3626,1.548,"1",2466.66666666667,119240.503739348
"1",3.09,"K/P","1",66.5821228027344,67.05002,1.161,"1",0,28200
"2",5,"K","2",115.027275085449,23.25005,2.3822,"1",449179.817827522,123432.023457306
"1",2.02,"P","1",126.337730407715,74.237853,1.548,"1",0,20566.6666666667
"2",6.79,"P","3",139.435699462891,61.07191,2.064,"2",20461.1899234354,30564.9525017063
"1",6.37,"P","2",108.519241333008,82.32815,0.688,"1",0,23203.3136030523
"1",8.38,"P","2",248.758026123047,61.1313,1.634,"1",7266.66666666667,31095.3349725062
"1",21,"P","1",217.611480712891,29.48633,1.1352,"1",3566.66666666667,10500
"2",9,"K/P","2",131.745239257812,13.03926,2.15,"2",116393.588968972,1858.57690771421
"2",19.5,"P","2",186.887008666992,43.574127,1.72,"2",556713.815740276,92513.2641862481
"2",7.83000000000001,"P","3",168.299133300781,61.07191,2.064,"2",0,13266.6666666667
"1",5,"P","2",143.654830932617,32.5001,1.548,"3",0,5300
"1",17,"P","2",56.2866325378418,85.78128,1.032,"1",300,49263.5939170014
"1",6.79,"P","2",84.3361892700195,92.8125,1.376,"1",0,1866.66666666667
"1",9,"P","3",80.5687866210938,37.88074,5.59,"2",0,48296.2098324827
"1",11,"P","1",109.959022521973,86.601589,0.9718,"1",0,0
"1",12.1,"P","2",232.99250793457,55.36254,1.634,"2",66.6666666666667,144898.115054914
"2",8.5,"P","2",143.143264770508,92.8125,2.322,"1",1033.33333333333,9539.60447829122
"1",18,"P","2",32.0660438537598,14.21438,2.666,"2",102311.12745036,33.3333333333333
"1",68.6,"P","2",170.474914550781,92.8125,0.774,"1",0,391013.148566677
"1",37.5,"P","3",164.296829223633,52.50942,1.806,"3",8100,63609.5762730323
"1",22,"P","2",71.950798034668,13.1011,1.29,"2",0,22387.5206834384
"1",15,"P","2",107.011291503906,92.8125,0.9288,"1",30266.6666666667,53210.4052762501
"1",12,"P","2",46.9740180969238,60.40002,2.15,"2",157382.635540431,66679.0150966757
"1",10,"P","2",190.92643737793,50.058831,1.935,"2",4507.00769188115,7800.59452671558
"1",59.62,"P","2",24.1312084197998,68.71567,0.946,"1",278450.405585365,21924.3041371306
"1",8.5,"P","2",134.84211730957,92.8125,1.0664,"1",3085.59387300666,62072.8334124597
"2",2.8,"P","2",144.822509765625,21.77217,2.494,"3",99089.0188263284,626967.744061891
"1",17,"P","2",116.963424682617,92.8125,1.118,"1",0,30929.966323326
"1",17.2,"P","2",73.7016906738281,92.8125,0.946,"1",0,2233.33333333333
"1",48,"P","2",107.897567749023,69.67502,1.548,"1",21574.7200729209,27500
