"conc_group","filter_ok_unter_gok","HA","kf_bez","gwn_mean","sand_depth_weighted_mean","corg_gehalt_depth_weighted_mean","Makroporen_rounded","area_sentinel_id_1","area_sentinel_id_10","area_sentinel_id_12","area_sentinel_id_13","area_sentinel_id_14","area_sentinel_id_15","area_sentinel_id_16","area_sentinel_id_17","area_sentinel_id_18","area_sentinel_id_19","area_sentinel_id_2","area_sentinel_id_20","area_sentinel_id_21","area_sentinel_id_3","area_sentinel_id_4","area_sentinel_id_7","area_sentinel_id_9"
"2",22,"K","1",62.0941734313965,13.1011,4.902,"2",242896.120128883,0,219205.123092389,5400,0,23133.3333333333,32801.5249909988,164007.514047623,20712.4491249803,0,243572.507099022,85285.8407518516,96600.831504721,114576.70247294,221597.25550799,66.6666666666667,102033.333333333
"1",4,"P","2",57.8017272949219,71.831295,2.279,"2",1056513.10303346,304269.130387603,226945.239578726,56282.0975392436,120571.76366281,0,124.556654691696,0,66.6666666666667,0,192712.287932441,44116.0658169072,0,113437.240059689,46717.0686680814,90766.506495643,196211.801087702
"1",10.5,"K","2",194.364181518555,83.38128,0.215,"1",7123.95463784536,82605.6497312403,20328.9095886071,0,4300,0,741.040499384205,0,20728.4616465253,0,14543.2408173879,200063.381121028,6891.9973828985,0,83648.7730459524,0,612.055050333341
"1",3,"K","2",240.77082824707,83.38128,0.215,"1",0,3821.73667750709,1395.15677947008,0,0,0,166.666666666667,0,5632.01924093689,0,0,301032.181721429,666.666666666667,0,3796.60750871602,0,0
"2",58,"K/Ka","2",192.049743652344,20.369375,1.333,"1",38209.4373211459,54608.3365267453,104736.856138063,0,0,0,25430.8104522837,0,2800,0,64091.1993082923,77750.1078690092,6100,0,173526.102055405,1097.99215570092,19802.131928408
"2",3.34,"P","2",71.1785125732422,46.1876,1.72,"1",528574.02189163,78877.143572752,484410.449902305,52759.76509545,459.54964881142,0,3733.33333333333,0,500,0,375386.124320772,165958.672895537,133.333333333333,449928.066653027,213271.558418362,35712.2978540836,94864.7266708819
"2",9,"P","3",68.4462814331055,46.1876,1.72,"1",86376.7657332947,0,108991.534257181,15611.6923283786,90257.7348433406,29.258519411087,59366.6666666667,0,2300,0,84800,301479.618430206,6423.91598386069,18573.198840676,34268.9005255253,3457.19577418834,70700
"2",4.2,"P","2",189.974060058594,40.3407,1.548,"2",107729.662039541,491030.69007607,133.333333333333,0,8300,6700,19721.3507014948,0,415253.299661395,19922.0144956062,50276.9126635743,258403.545072276,16369.1525330146,0,76769.4304258619,7866.66666666667,25330.8844452486
"2",27,"P","3",192.538345336914,15.8843,2.666,"2",150173.603081047,398971.473710544,4466.66666666667,0,854.06877542373,31269.1738988894,405057.57086664,17212.5420775963,120905.310741408,0,235494.385897968,124642.476147169,153987.561116195,1744.6658646067,72779.9341554249,0,28661.0460075239
"1",11,"K/Ka","2",115.919647216797,20.66434,2.15,"3",178147.58576654,320430.016680052,0,0,10083.5350036621,10100,233.333333333333,0,145032.929442218,0,398451.921111204,318497.279449789,218866.641733927,33.3333333333333,93497.6538393336,33.3333333333333,0
"1",3.8,"P","2",2.42395925521851,92.8125,2.408,"1",1641.56010614436,10243.9693652656,2633.33333333333,30486.5435940524,0,0,20807.6593775904,0,34090.1662820807,0,51470.4391475456,281233.6903979,36866.6666666667,508608.520589604,2966.66666666667,11000,20200
"1",11.5,"P","1",71.7494812011719,82.34064,0.946,"1",344694.318524214,440032.254867839,204186.914236658,12189.0879508264,33.3333333333333,0,5270.08759329716,0,66.6666666666667,0,486774.311666979,179890.504300517,66.6666666666667,285150.046907415,182670.591121312,13101.1162174197,19396.7487911383
"2",5.1,"K/Ka","2",132.918365478516,22.5938,2.236,"1",275205.912173484,240946.142403768,125813.843254234,1047.76210238536,11349.598544448,0,31328.8392066956,0,22921.0872278161,0,338493.706140837,211398.136234444,12066.6666666667,9806.3396045162,174534.152593427,0,20571.9935747329
"2",5.1,"P","3",180.586242675781,54.37193,1.548,"2",195708.321151369,638301.731758283,68582.6145551104,333.333333333333,6633.33333333333,41059.169000287,56022.5254209011,0,2810.50482457504,0,189438.574373556,87993.7195951042,71581.6066089037,100,325504.700354715,12833.3333333333,76591.5864986057
"2",4.1,"K/Ka","1",82.001953125,22.5938,2.236,"1",152531.243700473,27650.9003159357,85730.2741783647,5241.71410103639,3266.66666666667,33752.0400263626,74543.9865190516,0,199408.738050777,0,279178.131789862,250999.94010333,57888.7282012908,66.6666666666667,588213.037235558,133.333333333333,80895.0351925513
"1",1.5,"P","2",69.6171493530273,92.8125,1.376,"1",0,24022.4503000791,0,10598.2747193639,0,0,3060.78119615364,0,0,0,0,134756.152872149,0,56906.0022045868,3390.63893233736,33.3333333333333,0
"2",6.55,"P","3",223.866622924805,19.74599,2.666,"2",86532.6724217739,331485.115747777,42075.7206779594,0,0,5833.33333333333,36333.3333333333,0,50524.4589332181,0,71624.9393362605,117201.002079683,106398.799842904,3666.66666666667,50317.4490634218,5082.09539438443,0
"1",25,"P","2",136.753219604492,86.601589,0.9718,"1",3200,210538.79419794,0,0,0,30933.3333333333,30199.0566942841,0,137425.325981159,0,19382.1131619431,57613.1980136017,0,113584.101492976,2904.82499829183,0,0
"1",7.7,"P","2",80.5451049804688,92.8125,1.376,"1",0,0,0,0,0,0,0,0,700,0,0,44625.7713201068,233.333333333333,37114.6071023618,7000,0,0
"2",9,"P","2",201.704727172852,16.80542,1.634,"3",29330.3712833168,25364.3180254342,3412.31480141481,33.3333333333333,0,33.3333333333333,23236.8059900686,0,19389.0328266968,0,7273.53893630207,31318.6972493539,26462.3123118343,864.548334415304,11576.2211390558,404.557082056999,5015.95753114671
